SE11	SE11	0.000000
SE11	CFT073	0.001561
SE11	F2a2457T	0.000826
SE11	CB9615	0.000982
SE11	B18BS512	0.000631
SE11	D1Sd197	0.001166
SE11	F5b8401	0.000807
SE11	BW2952	0.000664
SE11	SMS35	0.001427
SE11	APEC01	0.001565
SE11	UMN026	0.001309
SE11	DH10B	0.000660
SE11	IAI39	0.001418
SE11	E234869	0.001555
SE11	IAI1	0.000315
SE11	E24377A	0.000345
SE11	ED1a	0.001550
SE11	B4Sb227	0.000637
SE11	UTI89	0.001571
SE11	Sakai	0.000991
SE11	S88	0.001536
SE11	ATCC8739	0.002761
SE11	W3110	0.000685
SE11	EDL933	0.001018
SE11	F2a301	0.000806
SE11	MG1655	0.000662
SE11	HS	0.000583
SE11	SSSs046	0.000626
SE11	536	0.001558
CFT073	SE11	0.001561
CFT073	CFT073	0.000000
CFT073	F2a2457T	0.001652
CFT073	CB9615	0.001563
CFT073	B18BS512	0.001662
CFT073	D1Sd197	0.001751
CFT073	F5b8401	0.001634
CFT073	BW2952	0.001547
CFT073	SMS35	0.001264
CFT073	APEC01	0.000429
CFT073	UMN026	0.001435
CFT073	DH10B	0.001545
CFT073	IAI39	0.001248
CFT073	E234869	0.000622
CFT073	IAI1	0.001557
CFT073	E24377A	0.001569
CFT073	ED1a	0.000445
CFT073	B4Sb227	0.001727
CFT073	UTI89	0.000407
CFT073	Sakai	0.001577
CFT073	S88	0.000455
CFT073	ATCC8739	0.003646
CFT073	W3110	0.001583
CFT073	EDL933	0.001606
CFT073	F2a301	0.001628
CFT073	MG1655	0.001548
CFT073	HS	0.001551
CFT073	SSSs046	0.001605
CFT073	536	0.000430
F2a2457T	SE11	0.000826
F2a2457T	CFT073	0.001652
F2a2457T	F2a2457T	0.000000
F2a2457T	CB9615	0.001107
F2a2457T	B18BS512	0.000819
F2a2457T	D1Sd197	0.001193
F2a2457T	F5b8401	0.000097
F2a2457T	BW2952	0.000902
F2a2457T	SMS35	0.001577
F2a2457T	APEC01	0.001692
F2a2457T	UMN026	0.001435
F2a2457T	DH10B	0.000901
F2a2457T	IAI39	0.001486
F2a2457T	E234869	0.001676
F2a2457T	IAI1	0.000812
F2a2457T	E24377A	0.000842
F2a2457T	ED1a	0.001692
F2a2457T	B4Sb227	0.000794
F2a2457T	UTI89	0.001678
F2a2457T	Sakai	0.001112
F2a2457T	S88	0.001676
F2a2457T	ATCC8739	0.000959
F2a2457T	W3110	0.000860
F2a2457T	EDL933	0.001141
F2a2457T	F2a301	0.000029
F2a2457T	MG1655	0.000900
F2a2457T	HS	0.000889
F2a2457T	SSSs046	0.000787
F2a2457T	536	0.001668
CB9615	SE11	0.000982
CB9615	CFT073	0.001563
CB9615	F2a2457T	0.001107
CB9615	CB9615	0.000000
CB9615	B18BS512	0.001080
CB9615	D1Sd197	0.000867
CB9615	F5b8401	0.001084
CB9615	BW2952	0.000921
CB9615	SMS35	0.001458
CB9615	APEC01	0.001563
CB9615	UMN026	0.001351
CB9615	DH10B	0.000918
CB9615	IAI39	0.001449
CB9615	E234869	0.001523
CB9615	IAI1	0.000978
CB9615	E24377A	0.000982
CB9615	ED1a	0.001587
CB9615	B4Sb227	0.001095
CB9615	UTI89	0.001566
CB9615	Sakai	0.000110
CB9615	S88	0.001524
CB9615	ATCC8739	0.003433
